query_id Q0 doc_id rank BM25_score system_name
1 Q0 Origin_of_life 89 2.2040415366502817 UniBM25
1 Q0 Stephen_Hawking 90 2.195901095973635 UniBM25
1 Q0 Cosmic_dust 91 2.178502252102304 UniBM25
1 Q0 Communications_satellite 92 2.0957159829742467 UniBM25
1 Q0 Telecommunications_satellite 93 2.0957159829742467 UniBM25
1 Q0 Voyager_1 94 2.086772329064096 UniBM25
1 Q0 Apollo_17 95 2.0504099448060176 UniBM25
1 Q0 Aircraft 96 2.0149240178765186 UniBM25
1 Q0 Special_relativity 97 1.9364643163077495 UniBM25
1 Q0 Deities 98 1.8645080888510335 UniBM25
1 Q0 Planetary_formation 99 1.8635606438061179 UniBM25
1 Q0 Space_weather 100 1.848686724044726 UniBM25
